latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-4.069,144.342,313.6,1.1,1,2018-10-19,0040,T,57,6.0NRT,289.7,7.1,D
-4.07,144.352,311.4,1.1,1,2018-10-19,0040,T,47,6.0NRT,287,5.6,D
-5.486,145.939,308.1,1,1,2018-10-19,0040,T,26,6.0NRT,276.5,6.5,D
-7.912,142.355,321.6,1.2,1.1,2018-10-19,0040,T,38,6.0NRT,298.8,15.1,D
-8.604,141.931,319.2,1.3,1.1,2018-10-19,0040,T,38,6.0NRT,294.8,11.7,D
-8.637,141.883,330.1,1.3,1.1,2018-10-19,0040,T,78,6.0NRT,304,24.5,D
-8.762,142.023,323.9,1.3,1.1,2018-10-19,0040,T,74,6.0NRT,294.3,20.4,D
-8.981,141.988,317.5,1.3,1.1,2018-10-19,0040,T,27,6.0NRT,295.4,9.8,D
-8.915,141.491,311.7,1.4,1.2,2018-10-19,0040,T,15,6.0NRT,280.5,10,D
-9.117,142.336,321.6,1.2,1.1,2018-10-19,0040,T,38,6.0NRT,290.6,14.9,D
-9.154,142.302,315.8,1.2,1.1,2018-10-19,0045,T,21,6.0NRT,293.7,7,D
-9.034,141.346,327.9,1.4,1.2,2018-10-19,0045,T,61,6.0NRT,288.8,30.2,D
-9.057,141.355,328.8,1.4,1.2,2018-10-19,0045,T,76,6.0NRT,291.9,28.5,D
-9.078,141.352,322.4,1.4,1.2,2018-10-19,0045,T,48,6.0NRT,290.2,16.7,D
-12.171,142.015,330.7,1.1,1.1,2018-10-19,0045,T,73,6.0NRT,301.5,18.4,D
-12.261,142.224,326.4,1.1,1.1,2018-10-19,0045,T,61,6.0NRT,304.2,8.2,D
-12.263,142.234,336.7,1.1,1.1,2018-10-19,0045,T,83,6.0NRT,304.6,25.2,D
-12.267,142.227,328.1,1.1,1.1,2018-10-19,0045,T,71,6.0NRT,304.5,13,D
-12.366,142.802,336.9,1.1,1,2018-10-19,0045,T,83,6.0NRT,302.6,26.4,D
-12.368,142.812,336.3,1.1,1,2018-10-19,0045,T,83,6.0NRT,303.6,25.8,D
-12.287,142.172,332.2,1.1,1.1,2018-10-19,0045,T,63,6.0NRT,304.4,17.9,D
-12.292,142.202,336.1,1.1,1.1,2018-10-19,0045,T,82,6.0NRT,304,24.4,D
-12.297,142.17,343.7,1.1,1.1,2018-10-19,0045,T,89,6.0NRT,302.4,39.2,D
-12.298,142.18,341.6,1.1,1.1,2018-10-19,0045,T,88,6.0NRT,304.3,34.4,D
-12.397,142.817,333.6,1.1,1,2018-10-19,0045,T,79,6.0NRT,302.2,21.5,D
-12.266,141.721,354.8,1.2,1.1,2018-10-19,0045,T,84,6.0NRT,301.6,76.2,D
-12.268,141.732,366.4,1.2,1.1,2018-10-19,0045,T,100,6.0NRT,303.9,117.2,D
-12.276,141.72,341.3,1.2,1.1,2018-10-19,0045,T,76,6.0NRT,303.5,40,D
-12.277,141.713,337.3,1.2,1.1,2018-10-19,0045,T,0,6.0NRT,301.9,29.9,D
-12.279,141.724,328.3,1.2,1.1,2018-10-19,0045,T,58,6.0NRT,303.9,14.2,D
-12.783,142.87,347.8,1.1,1,2018-10-19,0045,T,92,6.0NRT,305.2,44,D
-12.784,142.88,343.7,1,1,2018-10-19,0045,T,89,6.0NRT,305.6,35.7,D
-12.786,142.889,328.1,1,1,2018-10-19,0045,T,69,6.0NRT,303.9,10.9,D
-12.811,143.051,329.2,1,1,2018-10-19,0045,T,72,6.0NRT,304.3,13.5,D
-12.797,142.898,327.1,1,1,2018-10-19,0045,T,57,6.0NRT,303.3,10,D
-12.82,143.05,324.1,1,1,2018-10-19,0045,T,58,6.0NRT,303.4,7.6,D
-12.836,143.154,330.7,1,1,2018-10-19,0045,T,72,6.0NRT,302.7,21.9,D
-12.806,142.896,333.4,1,1,2018-10-19,0045,T,79,6.0NRT,303.5,18.9,D
-12.842,143.134,325.9,1,1,2018-10-19,0045,T,50,6.0NRT,300.5,13.2,D
-12.843,143.143,326.2,1,1,2018-10-19,0045,T,41,6.0NRT,299.7,14,D
-12.845,143.153,337.2,1,1,2018-10-19,0045,T,82,6.0NRT,299.6,31,D
-12.836,142.924,341.1,1,1,2018-10-19,0045,T,87,6.0NRT,305,33.2,D
-12.846,142.923,323.5,1,1,2018-10-19,0045,T,45,6.0NRT,304.4,7.9,D
-12.917,143.327,332.1,1,1,2018-10-19,0045,T,76,6.0NRT,304.2,21.2,D
-12.902,143.05,332.2,1,1,2018-10-19,0045,T,77,6.0NRT,304.9,16,D
-13.152,143.421,333.6,1,1,2018-10-19,0045,T,77,6.0NRT,301.3,23.7,D
-12.932,141.642,348,1.2,1.1,2018-10-19,0045,T,91,6.0NRT,307.6,53.5,D
-12.933,141.652,352.9,1.2,1.1,2018-10-19,0045,T,95,6.0NRT,309.5,67.7,D
-12.943,141.651,332.5,1.2,1.1,2018-10-19,0045,T,67,6.0NRT,306.3,21,D
-13.51,143.169,328.4,1,1,2018-10-19,0045,T,14,6.0NRT,306.6,10.9,D
-13.526,142.968,325.3,1,1,2018-10-19,0045,T,53,6.0NRT,306,6.6,D
-13.535,142.966,327.8,1,1,2018-10-19,0045,T,31,6.0NRT,307.4,8.2,D
-13.536,142.976,340.7,1,1,2018-10-19,0045,T,86,6.0NRT,308.7,26.9,D
-13.538,142.985,341.5,1,1,2018-10-19,0045,T,87,6.0NRT,308.6,27.9,D
-13.547,142.984,331.6,1,1,2018-10-19,0045,T,71,6.0NRT,309.2,11.2,D
-13.548,142.993,331.1,1,1,2018-10-19,0045,T,64,6.0NRT,308.6,11.4,D
-12.486,136.388,319.4,2.8,1.6,2018-10-19,0045,T,59,6.0NRT,298,31.7,D
-13.607,142.714,333.5,1,1,2018-10-19,0045,T,68,6.0NRT,305.5,17.4,D
-13.615,142.703,335.4,1,1,2018-10-19,0045,T,77,6.0NRT,302.9,23.6,D
-13.616,142.713,346.4,1,1,2018-10-19,0045,T,91,6.0NRT,303.9,42,D
-13.63,142.74,334.1,1,1,2018-10-19,0045,T,67,6.0NRT,305.6,13.2,D
-13.631,142.75,346.7,1,1,2018-10-19,0045,T,91,6.0NRT,307.7,34.7,D
-13.633,142.759,338.3,1,1,2018-10-19,0045,T,84,6.0NRT,309.7,17.7,D
-13.634,142.714,348.9,1,1,2018-10-19,0045,T,93,6.0NRT,303.6,47.4,D
-13.638,142.743,363.8,1,1,2018-10-19,0045,T,100,6.0NRT,308.6,81.6,D
-13.64,142.752,348.1,1,1,2018-10-19,0045,T,92,6.0NRT,308.6,39,D
-13.643,142.712,331.7,1,1,2018-10-19,0045,T,73,6.0NRT,302.9,16.1,D
-13.733,142.874,336.1,1,1,2018-10-19,0045,T,75,6.0NRT,308.4,18,D
-13.742,142.873,332.1,1,1,2018-10-19,0045,T,53,6.0NRT,306.8,11.9,D
-13.755,142.845,335.4,1,1,2018-10-19,0045,T,80,6.0NRT,308.7,16.2,D
-13.764,142.844,332.6,1,1,2018-10-19,0045,T,69,6.0NRT,309.6,12,D
-12.724,136.279,334.9,2.8,1.6,2018-10-19,0045,T,84,6.0NRT,297.4,114.9,D
-12.729,136.305,339.1,2.8,1.6,2018-10-19,0045,T,87,6.0NRT,297.9,141.4,D
-12.733,136.33,327.2,2.8,1.6,2018-10-19,0045,T,76,6.0NRT,297.3,64.4,D
-12.743,136.302,323.7,2.8,1.6,2018-10-19,0045,T,68,6.0NRT,297.5,48.4,D
-12.726,136.273,326.3,2.8,1.6,2018-10-19,0045,T,74,6.0NRT,296.4,68.1,D
-12.731,136.298,343,2.8,1.6,2018-10-19,0045,T,90,6.0NRT,297.4,173.7,D
-12.735,136.324,329.5,2.8,1.6,2018-10-19,0045,T,78,6.0NRT,296.9,79,D
-13.707,141.695,341.1,1.1,1.1,2018-10-19,0045,T,71,6.0NRT,309.9,29.9,D
-13.734,141.68,356.1,1.1,1.1,2018-10-19,0045,T,97,6.0NRT,310.8,68.3,D
-13.742,141.668,371.6,1.1,1.1,2018-10-19,0045,T,100,6.0NRT,307.7,129.3,D
-13.744,141.678,368.5,1.1,1.1,2018-10-19,0045,T,100,6.0NRT,312.8,112.5,D
-13.747,141.671,356.4,1.1,1.1,2018-10-19,0045,T,97,6.0NRT,309.8,70.6,D
-13.748,141.682,333.8,1.1,1.1,2018-10-19,0045,T,68,6.0NRT,311.3,16,D
-12.973,136.214,321.7,2.8,1.6,2018-10-19,0045,T,57,6.0NRT,298.5,30.4,D
-13.663,135.787,325.7,3,1.6,2018-10-19,0045,T,68,6.0NRT,303.6,51.5,D
-13.662,135.78,324.9,3,1.6,2018-10-19,0045,T,69,6.0NRT,303.6,46.8,D
-15.302,145.171,322.1,1.1,1,2018-10-19,0045,T,50,6.0NRT,298.7,13.8,D
-15.704,144.947,328,1,1,2018-10-19,0045,T,54,6.0NRT,303,12.5,D
-15.735,145.116,342.3,1.1,1,2018-10-19,0045,T,88,6.0NRT,302.5,35.1,D
-15.705,144.832,324.2,1,1,2018-10-19,0045,T,15,6.0NRT,303.6,10.1,D
-15.706,144.841,325.5,1,1,2018-10-19,0045,T,38,6.0NRT,304.5,11,D
-15.751,145.164,359.2,1.1,1,2018-10-19,0045,T,99,6.0NRT,305.2,78.4,D
-15.762,145.172,333.9,1.1,1,2018-10-19,0045,T,70,6.0NRT,304.3,24.3,D
-15.773,144.921,330,1,1,2018-10-19,0045,T,23,6.0NRT,307.1,13.2,D
-15.796,144.892,331.4,1,1,2018-10-19,0045,T,75,6.0NRT,306.3,18,D
-15.825,144.897,336.6,1,1,2018-10-19,0045,T,83,6.0NRT,307.2,23.5,D
-16.11,143.685,340.5,1,1,2018-10-19,0045,T,85,6.0NRT,306.7,26.7,D
-16.117,143.665,359.6,1,1,2018-10-19,0045,T,99,6.0NRT,302.9,70.2,D
-16.118,143.674,358.5,1,1,2018-10-19,0045,T,99,6.0NRT,307.2,65.2,D
-16.119,143.684,335.9,1,1,2018-10-19,0045,T,67,6.0NRT,308.1,18.4,D
-16.124,143.654,352.8,1,1,2018-10-19,0045,T,95,6.0NRT,302.6,54.6,D
-16.125,143.664,360.2,1,1,2018-10-19,0045,T,100,6.0NRT,306.1,72.2,D
-16.134,143.662,348.3,1,1,2018-10-19,0045,T,92,6.0NRT,305.6,42.7,D
-16.143,143.718,325.6,1,1,2018-10-19,0045,T,48,6.0NRT,305.7,7.4,D
-16.143,143.661,336.1,1,1,2018-10-19,0045,T,80,6.0NRT,305.2,20.1,D
-16.327,144.287,340.5,1,1,2018-10-19,0045,T,86,6.0NRT,303.4,31.8,D
-16.328,144.296,324.8,1,1,2018-10-19,0045,T,47,6.0NRT,305.2,9.1,D
-16.334,144.276,321.5,1,1,2018-10-19,0045,T,26,6.0NRT,303,7.1,D
-16.336,144.286,340,1,1,2018-10-19,0045,T,86,6.0NRT,305.7,31,D
-16.337,144.295,331.4,1,1,2018-10-19,0045,T,71,6.0NRT,305.8,16.8,D
-16.386,144.253,349.9,1,1,2018-10-19,0045,T,93,6.0NRT,302.2,49.4,D
-16.387,144.262,349.2,1,1,2018-10-19,0045,T,93,6.0NRT,304.3,47.8,D
-16.396,144.261,339.3,1,1,2018-10-19,0045,T,85,6.0NRT,306.3,28,D
-16.408,144.278,335.3,1,1,2018-10-19,0045,T,80,6.0NRT,306.8,19.6,D
-16.331,137.494,343.3,1.9,1.4,2018-10-19,0045,T,89,6.0NRT,314.1,77.8,D
-16.343,137.492,331.3,1.9,1.4,2018-10-19,0045,T,53,6.0NRT,314.7,28.4,D
-16.98,141.219,332.2,1.1,1.1,2018-10-19,0045,T,70,6.0NRT,312.4,11.4,D
-16.985,141.25,336.4,1.1,1,2018-10-19,0045,T,78,6.0NRT,311.8,18.1,D
-16.987,141.26,344.8,1.1,1,2018-10-19,0045,T,88,6.0NRT,312.1,36,D
-16.988,141.271,331.9,1.1,1,2018-10-19,0045,T,66,6.0NRT,310.8,12.9,D
-17,141.188,335.1,1.1,1.1,2018-10-19,0045,T,76,6.0NRT,311.9,18.1,D
-17.001,141.198,330.3,1.1,1.1,2018-10-19,0045,T,57,6.0NRT,310.5,10.5,D
-17.006,141.166,334.1,1.1,1.1,2018-10-19,0045,T,72,6.0NRT,312,16.4,D
-17.008,141.176,336.7,1.1,1.1,2018-10-19,0045,T,73,6.0NRT,311.9,20.6,D
-17.015,141.164,335.5,1.1,1.1,2018-10-19,0045,T,76,6.0NRT,309.4,20.3,D
-17.017,141.174,367,1.1,1.1,2018-10-19,0045,T,100,6.0NRT,311.3,102.5,D
